time	energy	cost
47503	0.266667	0
47694	0.233333	0
47742	0.2	0
47750	0.166667	0
47755	0.2	0
47764	0.233333	0
47767	0.266667	0
47781	0.233333	0
47812	0.266667	0
47816	0.233333	0
47894	0.2	0
47973	0.166667	0
48017	0.133333	0
48022	0.166667	0
48270	0.2	0
48324	0.166667	0
48352	0.133333	0
48365	0.1	0
48409	0.133333	0
48432	0.1	0
48576	0.0666667	0
48791	0.1	0
48838	0.0666667	0
48889	0.1	0
48976	0.0666667	0
49164	0.1	0
49373	0.0666667	0
49516	0.0333333	0
49780	9.71445e-17	0
50182	0.0333333	0
50596	0.0666667	0
50598	0.1	0
50774	0.133333	0
50799	0.1	0
51095	0.133333	0
51136	0.166667	0
51178	0.2	0
51182	0.166667	0
51270	0.133333	0
51289	0.166667	0
51391	0.133333	0
51668	0.166667	0
51696	0.2	0
51706	0.166667	0
51760	0.133333	0
51807	0.1	0
51931	0.0666667	0
52207	0.1	0
52250	0.0666667	0
52282	0.0333333	0
52825	9.71445e-17	0
53321	0.0333333	0
53977	9.71445e-17	0
53980	0.0333333	0
54107	0.0666667	0
54576	0.0333333	0
54674	0.0666667	0
54716	0.0333333	0
54755	0.0666667	0
54886	0.1	0
55268	0.0666667	0
55377	0.0333333	0
55461	9.71445e-17	0
55755	0.0333333	0
56194	0.0666667	0
56331	0.1	0
56365	0.0666667	0
56463	0.1	0
56601	0.133333	0
56605	0.166667	0
56735	0.2	0
56892	0.166667	0
56929	0.133333	0
57029	0.1	0
57089	0.133333	0
57101	0.166667	0
57149	0.2	0
57152	0.233333	0
57190	0.266667	0
57210	0.233333	0
57255	0.2	0
57293	0.166667	0
57390	0.2	0
57484	0.233333	0
57511	0.266667	0
57618	0.3	0
57654	0.266667	0
57659	0.233333	0
57701	0.2	0
57933	0.166667	0
57953	0.2	0
58004	0.166667	0
58026	0.133333	0
58063	0.1	0
58126	0.133333	0
58191	0.1	0
58224	0.0666667	0
58244	0.1	0
58562	0.0666667	0
58726	0.0666667	0
58870	0.0333333	0
59107	0.0666667	0
59346	0.0333333	0
59390	0.0666667	0
59698	0.0333333	0
59927	0.0666667	0
60001	0.1	0
60020	0.0666667	0
60173	0.1	0
60544	0.0666667	0
60732	0.0333333	0
60776	0.0666667	0
60905	0.1	0
60980	0.0666667	0
61394	0.0333333	0
61512	9.71445e-17	0
61722	0.0333333	0
61827	0.0666667	0
62111	0.1	0
62336	0.0666667	0
