taxiID	true total demand	total demand	difference	served demand	total distance	served distance	total time	served time	taxi revenue	taxi profit
82	29	29	0	9	280.37	118.455	24150	9283	274.787	274.787
83	64	64	0	7	357.827	123.967	44277	7752	263.375	263.375
84	65	65	0	38	458.775	260.024	37981	23403	839.995	839.995
85	68	68	0	24	343.378	174.267	42240	17538	531.855	531.855
86	25	25	0	19	421.386	229.012	31682	19893	567.413	567.413
87	60	60	0	38	341.97	137.668	37987	21305	642.675	642.675
88	53	53	0	26	278.976	106.424	33549	14733	459.541	459.541
89	53	53	0	28	406.485	172.441	36480	17711	578.73	578.73
90	33	33	0	25	277.465	197.972	24036	17941	583.728	583.728
91	53	53	0	17	282.908	115.501	30443	11671	362.201	362.201
92	67	67	0	57	324.503	252.973	41116	34525	1037.58	1037.58
93	60	60	0	53	290.934	270.184	45353	41588	1012.02	1012.02
94	61	61	0	22	275.48	63.727	34015	10933	358.771	358.771
95	44	44	0	30	300.26	172.197	28964	18313	606.249	606.249
96	70	70	0	29	396.145	127.069	46781	17679	526.849	526.849
97	45	45	0	11	215.661	37.0062	31023	5350	180.487	180.487
98	52	52	0	14	370.728	150.047	52843	13041	379.635	379.635
99	42	42	0	35	309.465	169.397	31012	22830	646.382	646.382
100	57	57	0	5	276.64	42.9983	34176	3462	119.802	119.802
101	39	39	0	11	429.069	116.882	37943	13175	303.482	303.482
102	43	43	0	8	399.736	84.0021	34512	8164	214.093	214.093
103	72	72	0	41	318.65	128.153	37657	19333	683.925	683.925
104	72	72	0	17	400.579	58.0908	46817	10945	281.736	281.736
105	32	32	0	8	211.074	104.771	26668	9650	250.956	250.956
106	61	61	0	29	363.787	140.344	40562	17742	548.032	548.032
107	36	36	0	25	335.306	195.97	28822	18892	575.618	575.618
108	57	57	0	35	367.949	152.971	44298	20628	638.324	638.324
109	19	19	0	15	364.039	240.333	22539	15199	518.488	518.488
110	43	43	0	14	352.973	121.205	34172	13925	336.524	336.524
111	54	54	0	11	369.229	48.0298	39591	5590	196.82	196.82
112	42	42	0	27	458.659	327.351	34780	24210	794.054	794.054
113	52	52	0	29	272.798	111.521	32294	17062	516.452	516.452
114	59	59	0	21	259.494	99.6787	35491	15030	386.037	386.037
115	2	2	0	2	5.81173	5.81173	1140	1140	32.2874	32.2874
116	46	46	0	21	309.678	109.142	31186	12152	402.83	402.83
117	50	50	0	19	424.588	130.017	32500	11640	412.389	412.389
118	71	71	0	30	509.631	137.432	42090	15753	547.366	547.366
119	64	64	0	32	316.216	136.868	44473	20662	578.494	578.494
120	68	68	0	33	403.551	122.429	56905	19251	566.226	566.226
121	75	75	0	65	370.028	245.444	29535	23329	1208.99	1208.99
122	54	54	0	13	379.761	94.2012	34295	8647	285.681	285.681
123	61	61	0	19	354.307	60.5451	39294	10734	309.418	309.418
124	44	44	0	15	387.108	153.828	35512	14310	395.539	395.539
125	48	48	0	12	303.989	101.013	33600	10454	286.548	286.548
126	39	39	0	11	348.56	119.689	32909	9417	295.829	295.829
127	61	61	0	13	234.421	33.8533	25799	5606	218.187	218.187
128	35	35	0	26	260.218	159.736	28041	17761	527.732	527.732
129	55	55	0	21	338.645	56.8243	31471	8462	331.429	331.429
130	39	39	0	21	251.497	110.308	26374	12906	401.044	401.044
131	49	49	0	14	354.959	143.643	33105	10640	372.504	372.504
132	52	52	0	18	326.35	104.846	35974	13538	361.443	361.443
133	55	55	0	19	265.758	109.458	32920	10591	387.371	387.371
134	29	29	0	23	379.964	222.015	25244	16653	582.361	582.361
135	63	63	0	21	277.714	106.695	36658	11562	411.73	411.73
136	26	26	0	8	384.109	162.838	29559	12235	333.413	333.413
137	50	50	0	15	334.919	104.111	33889	12418	321.74	321.74
138	22	22	0	13	354.88	195.16	24022	13503	431.369	431.369
139	61	61	0	26	416.719	162.185	42077	18424	534.14	534.14
140	50	50	0	21	306.991	109.527	31415	12223	409.85	409.85
141	20	20	0	14	332.014	93.9062	22813	9652	305.708	305.708
142	24	24	0	10	300.271	87.8293	24439	10108	246.123	246.123
143	48	48	0	17	288.662	108.129	30274	11732	354.545	354.545
144	46	46	0	26	330.133	164.227	36961	19743	544.741	544.741
145	76	76	0	33	387.281	85.7918	48166	20033	530.769	530.769
146	61	61	0	33	250.443	155.559	33118	20269	612.162	612.162
147	24	24	0	5	325.367	115.41	22749	5560	225.615	225.615
148	47	47	0	18	247.259	108.415	30311	15519	361.651	361.651
149	38	38	0	19	283.803	105.969	23559	11144	372.649	372.649
150	56	56	0	20	345.404	55.8908	44960	10310	312.281	312.281
151	47	47	0	30	346.433	192.271	34470	22552	643.839	643.839
152	45	45	0	6	276.027	105.777	27723	7378	221.764	221.764
153	41	41	0	17	381.997	177.998	32994	14174	457.342	457.342
154	69	69	0	36	438.432	241.682	47829	25596	774.171	774.171
155	24	24	0	13	307.983	120.333	22563	9323	328.304	328.304
156	34	34	0	4	340.08	92.9711	28745	6027	181.457	181.457
157	35	35	0	4	326.263	94.0513	36408	9945	183.917	183.917
158	46	46	0	13	316.01	71.0764	38287	13303	246.056	246.056
159	48	48	0	28	209.023	116.721	28951	16863	497.73	497.73
160	40	40	0	18	288.785	112.869	28628	11363	381.72	381.72
161	26	26	0	23	313.038	225.103	27004	22352	588.996	588.996
162	50	50	0	31	272.23	190.716	38014	23781	635.544	635.544
163	29	29	0	12	289.203	58.3967	21552	6391	224.614	224.614
164	61	61	0	31	400.515	108.033	44591	16648	515.849	515.849
165	27	27	0	24	405.27	303.992	35079	28390	734.419	734.419
166	53	53	0	29	283.915	110.111	35359	18034	510.992	510.992
167	22	22	0	14	279.038	200.347	19345	12722	455.674	455.674
168	56	56	0	23	339.138	120.227	35611	13136	444.433	444.433
169	55	55	0	26	293.212	97.7074	32515	13591	451.554	451.554
170	23	23	0	18	253.176	182.402	20899	15150	483.481	483.481
171	34	34	0	21	320.881	124.957	28290	13072	433.455	433.455
172	46	46	0	35	299.292	204.487	34223	24564	693.122	693.122
